Bottled Wine Gallons by State,Bottled Still Wines,Bottled Effervescnet Wines,Date
,,,
Alabama,"30,153",200,December 2019
Alaska,"5,247",0,December 2019
Arizona,"80,784","2,059",December 2019
Arkansas,"24,197",0,December 2019
California,"39,007,466","1,110,404",December 2019
Colorado,"188,854",355,December 2019
Connecticut,"116,396","4,444",December 2019
Delaware,"1,794",0,December 2019
District of Columbia,"57,386",0,December 2019
Florida,"332,603",90,December 2019
Georgia,"88,359","2,878",December 2019
Hawaii,"2,887",394,December 2019
Idaho,"44,584",0,December 2019
Illinois,"318,909","40,786",December 2019
Indiana,"286,792",431,December 2019
Iowa,"115,948","2,735",December 2019
Kansas,"97,290",0,December 2019
Kentucky,"238,459",21,December 2019
Louisiana,"12,028",0,December 2019
Maine,"60,644","3,516",December 2019
Maryland,"115,711","5,372",December 2019
Massachusetts,"218,298","1,148",December 2019
Michigan,"753,563","17,265",December 2019
Minnesota,"149,744","1,268",December 2019
Mississippi,"3,157",0,December 2019
Missouri,"216,312","13,764",December 2019
Montana,"38,039","4,669",December 2019
Nebraska,"79,654",0,December 2019
Nevada,0,0,December 2019
New Hampshire,"69,787","2,326",December 2019
New Jersey,"249,510","6,126",December 2019
New Mexico,"132,009","52,466",December 2019
New York,"2,349,503","152,461",December 2019
North Carolina,"436,273","4,973",December 2019
North Dakota,"17,338",0,December 2019
Ohio,"897,821","1,174",December 2019
Oklahoma,"73,190",0,December 2019
Oregon,"1,658,682","20,311",December 2019
Pennsylvania,"2,046,274","8,992",December 2019
Rhode Island,"8,659",169,December 2019
South Carolina,"37,115",0,December 2019
South Dakota,"33,920",269,December 2019
Tennessee,"126,869","3,563",December 2019
Texas,"725,115","6,491",December 2019
Utah,"11,636",0,December 2019
Vermont,"343,377","1,756",December 2019
Virginia,"435,094","6,995",December 2019
Washington,"2,371,015","34,541",December 2019
West Virginia,"31,440",0,December 2019
Wisconsin,"318,685","8,658",December 2019
Wyoming,"5,598",0,December 2019